NSpins,T,E_mean,Cv,Cv_err,F_approx,F_exact,m_running_mean,tau_int,Mean Energy Difference
8,1.0,-0.818505,0.5242565198000001,0.005895944198280813,-1.5116521805599454,-1.1403311690007771,0.011977272727272727,6.3235592085984935,0.0
8,1.5,-0.601955,0.3393872994666667,0.0026439293167843485,-1.641675770839918,-1.35342225055062,0.011238636363636364,3.034347633860526,4.000040000400004e-05
8,2.0,-0.46623,0.20731917420000004,0.0012631411381093507,-1.8525243611198905,-1.6270427793194118,-0.0064181818181818185,1.8560375661173167,-4.000040000400004e-05
8,2.5,-0.382115,0.138996002272,0.0007497724607172877,-2.1149829513998633,-1.9278873579900866,-0.002009090909090909,1.4548493900271806,0.0
8,3.0,-0.32264,0.1000074936888889,0.000517098060777604,-2.4020815416798356,-2.2431530751611923,0.002890909090909091,1.3367338019589337,0.0
8,3.5,-0.279205,0.07581522806530612,0.00037698731824724205,-2.7052201319598086,-2.5669856199634706,0.0004772727272727273,1.2362469287218847,4.000040000400004e-05
8,4.0,-0.24444,0.0587770432,0.00028023107307130116,-3.017028722239781,-2.8963144102662164,0.00022727272727272727,1.1365333346360642,-4.000040000400004e-05
8,4.5,-0.218445,0.04683230892839505,0.00022310199257722358,-3.337607312519754,-3.22937373076591,-0.0012522727272727273,1.134699424825881,0.0
8,5.0,-0.197145,0.038162031671999996,0.00017959505225522307,-3.6628809027997264,-3.565077701534994,0.0013431818181818182,1.107365415146607,0.0
16,1.0,-0.768085,0.4733069244,0.006033136230386909,-1.4612321805599453,-1.1277236033227283,-0.010476136363636363,8.123351976969658,0.0
16,1.5,-0.582775,0.2973123511111111,0.0022299395389268487,-1.622495770839918,-1.3509603850971814,-0.0072738636363636365,2.812665346228693,4.000040000400004e-05
16,2.0,-0.461625,0.19708443750000001,0.0011641741274854588,-1.8479193611198905,-1.6265239157192573,-0.002381818181818182,1.7445910892571113,0.0
16,2.5,-0.379925,0.13751870560000004,0.0007427255421854583,-2.112792951399863,-1.9277516943424335,0.0023125,1.4584677737981266,0.0
16,3.0,-0.3206425,0.10029824389999997,0.0005263594752191758,-2.4000840416798357,-2.2431102630006157,0.004420454545454545,1.3770263673571388,-4.000040000400004e-05
16,3.5,-0.2776575,0.07476661249795918,0.00037275644657387626,-2.7036726319598086,-2.5669699294095856,0.0013079545454545455,1.2427950778084633,-8.000080000800008e-05
16,4.0,-0.2463225,0.05853710099375,0.00028985174980781505,-3.0189112222397814,-2.896307936762334,-0.0013659090909090908,1.2258973670470685,-8.000080000800008e-05
16,4.5,-0.2186275,0.04688406221728395,0.0002272324082139299,-3.337789812519754,-3.229370793934043,-0.001190909090909091,1.174505293853639,0.0
16,5.0,-0.1957325,0.038539624604,0.00018367251977114422,-3.6614684027997266,-3.565076262001421,0.0006647727272727273,1.1356342451190131,4.000040000400004e-05
32,1.0,-0.76085375,0.42639527554999995,0.004931419917129941,-1.4540009305599453,-1.1269331392987487,0.013394318181818183,6.6874440532929205,-4.000040000400004e-05
32,1.5,-0.58209625,0.2921162593555555,0.0021492898585590493,-1.6218170208399179,-1.3509437890857896,0.0045636363636363635,2.7066790827279825,4.000040000400004e-05
32,2.0,-0.4621775,0.19465566795,0.0011867055052944071,-1.8484718611198905,-1.6265233750376153,-8.522727272727273e-05,1.8582910710704788,-8.000080000800008e-05
32,2.5,-0.38010875,0.136775971448,0.0007483687155276181,-2.1129767013998633,-1.9277516648694468,0.0017301136363636364,1.4968391575509896,8.000080000800008e-05
32,3.0,-0.32076,0.0992296352,0.0005130400846093447,-2.4002015416798357,-2.2431102605562163,0.0001965909090909091,1.336546297950008,4.000040000400004e-05
32,3.5,-0.27884,0.07517258292244897,0.0003802073781457402,-2.7048551319598086,-2.5669699291282013,-0.0004028409090909091,1.2790472389288716,4.000040000400004e-05
32,4.0,-0.2456175,0.0589965873875,0.0002888081534002834,-3.018206222239781,-2.8963079367204267,-0.0004045454545454545,1.198201663384351,4.000040000400004e-05
32,4.5,-0.21882625,0.04713912661481481,0.00022862421630611682,-3.3379885625197536,-3.2293707939263765,0.0007198863636363636,1.1761055317055042,8.000080000800008e-05
