NSpins,mean_energy_current,energy_running_mean,m_running_mean,time_elapsed
8,"[ 0.00099   0.002545  0.000835  0.00179   0.004045  0.00134   0.005625
 -0.00091 ]","[-0.185      -0.175      -0.11       ... -0.02939463 -0.02939454
 -0.02939464]",[0.75       0.625      0.33333333 ... 0.03881889 0.03882081 0.038825  ],2.3857579231262207
16,"[ 1.630e-03  3.270e-03  8.100e-04  5.700e-04  9.500e-05  1.905e-03
  6.645e-03  7.575e-03  2.645e-03  2.465e-03  2.865e-03  9.000e-04
  3.580e-03  2.285e-03  7.145e-03 -5.950e-04]","[-0.0925     -0.025       0.0075     ... -0.02946715 -0.02946706
 -0.02946689]",[0.375      0.3125     0.16666667 ... 0.03967572 0.03967763 0.03967841],0.10508155822753906
32,"[ 0.000385  0.006055  0.00463   0.000155  0.005305  0.00039   0.00077
  0.002405  0.002955  0.00267   0.00365   0.001395  0.00156   0.0015
  0.00276   0.00128   0.00324   0.002375  0.004755  0.001645  0.002215
 -0.001285  0.002575  0.002135  0.00161   0.004055  0.004315  0.002645
  0.00096   0.004235  0.00327   0.00601 ]","[-0.015      -0.0025     -0.02416667 ... -0.02948176 -0.02948168
 -0.02948151]",[0.1875     0.03125    0.04166667 ... 0.04058994 0.04059185 0.0405892 ],0.19730806350708008
64,"[ 0.002715  0.003425  0.000795 -0.0002    0.00036   0.004365  0.005615
  0.00454   0.004535  0.008455  0.004375  0.005005  0.006975  0.004165
  0.0021    0.00352   0.003215  0.00597   0.00419   0.000955  0.00272
  0.00428   0.002695  0.001355  0.00024   0.00266   0.001625  0.002165
  0.002845  0.004735  0.0011    0.003145  0.00507   0.00393   0.00871
  0.002265  0.004775  0.000655  0.004635  0.00289   0.00271   0.00697
  0.003375  0.00672   0.00338   0.00168   0.006545  0.00505   0.001075
  0.003475  0.00309   0.004015  0.007175  0.004405  0.000545  0.00205
  0.003945  0.00134   0.002015  0.002655  0.006905  0.00511   0.004995
  0.005425]","[-0.06625    -0.0990625  -0.09458333 ... -0.02944968 -0.02945031
 -0.02945068]",[0.4375     0.359375   0.27083333 ... 0.03959759 0.0395978  0.03959659],0.39865589141845703
128,"[ 5.750e-03  3.925e-03  6.745e-03  8.105e-03  2.745e-03 -3.500e-04
  2.305e-03  1.900e-03  1.965e-03  8.550e-04  2.400e-03  2.185e-03
  5.985e-03  2.535e-03  2.355e-03 -1.140e-03  2.935e-03  3.405e-03
  1.895e-03  8.300e-04  2.890e-03  2.365e-03  1.080e-03  9.600e-04
  5.980e-03  2.900e-03  3.380e-03  2.980e-03  3.980e-03  1.100e-03
 -1.125e-03  4.335e-03  3.565e-03  4.970e-03  2.295e-03  2.705e-03
  3.650e-04  3.840e-03  2.765e-03  5.015e-03 -1.240e-03  3.900e-03
  3.925e-03  2.670e-03 -1.950e-04  3.865e-03  2.650e-04  3.960e-03
  2.740e-03  1.450e-04  1.595e-03  1.520e-03  2.000e-03  3.000e-03
  1.120e-03  1.260e-03  5.600e-04  1.245e-03  1.850e-03 -1.370e-03
  2.425e-03  5.065e-03  4.225e-03  4.485e-03  2.810e-03  3.795e-03
  4.205e-03  3.130e-03  4.145e-03  4.040e-03  5.860e-03  4.880e-03
  4.515e-03  4.090e-03  9.000e-05  5.975e-03  9.325e-03  3.135e-03
  1.400e-03  4.455e-03  1.905e-03  3.675e-03  1.250e-03  3.590e-03
  3.250e-03  6.015e-03  5.035e-03  4.445e-03  1.265e-03  2.410e-03
  1.795e-03  4.275e-03  1.875e-03  3.145e-03  1.885e-03  5.335e-03
  4.450e-03  3.330e-03  1.190e-03  4.825e-03  2.000e-04  4.505e-03
  1.165e-03  5.600e-04 -3.400e-04  4.220e-03  6.300e-03  3.045e-03
 -4.500e-05  3.880e-03  3.775e-03  6.130e-03  3.385e-03  1.465e-03
 -2.125e-03  5.100e-03  5.420e-03  3.375e-03  3.650e-03  7.170e-03
  6.290e-03 -1.650e-04  7.825e-03  3.175e-03  2.080e-03  5.155e-03
  1.410e-03  5.130e-03]","[-0.0578125  -0.043125   -0.04010417 ... -0.02951363 -0.02951407
 -0.02951407]",[0.234375   0.1484375  0.078125   ... 0.04058341 0.04058304 0.04058153],0.9476072788238525
