NSpins,mean_energy_current,m_running_mean,time_elapsed
8,[ 0.10856  0.02854  0.01004  0.00468  0.00076 -0.02788 -0.09852],"[ 0.         -0.125      -0.08333333 ... -0.00091138 -0.00091592
 -0.00092273]",1.5107333660125732
16,"[ 0.1012   0.0239   0.00508  0.00292 -0.00044 -0.00862  0.01334  0.00706
  0.00096  0.00784  0.00158 -0.0067  -0.00766 -0.04268 -0.11018]","[ 0.625       0.4375      0.33333333 ... -0.00066478 -0.00066592
 -0.00066477]",0.08461332321166992
32,"[ 0.10404  0.0209   0.0025   0.00286 -0.01248 -0.00424 -0.00464  0.0121
 -0.00218 -0.00238 -0.0033  -0.0072  -0.00472 -0.0043  -0.01126 -0.0004
  0.00336 -0.00568  0.00242 -0.00412  0.00684  0.0086  -0.0006   0.00162
 -0.00694 -0.01074  0.00368  0.0004  -0.0047  -0.02764 -0.11844]","[ 0.6875      0.59375     0.5625     ... -0.00128752 -0.00128694
 -0.0012875 ]",0.15871953964233398
64,"[ 1.0336e-01  1.8300e-02 -5.2000e-04 -1.0260e-02 -1.6000e-03 -9.0200e-03
 -2.7000e-03 -7.2000e-04  3.9200e-03  8.6400e-03  6.2200e-03  7.6400e-03
  1.1660e-02 -8.0000e-05 -9.0000e-04 -5.1600e-03 -7.6400e-03 -1.0920e-02
  4.0600e-03  1.1920e-02  2.7200e-03  4.5800e-03 -3.4800e-03 -5.7800e-03
  2.3800e-03 -3.8800e-03  6.2000e-03  6.2800e-03  4.6000e-03  4.4000e-04
 -5.5800e-03  7.0400e-03  3.2000e-04  1.0080e-02  1.3900e-02  6.2800e-03
 -5.3200e-03  1.8000e-04  3.9200e-03  4.9400e-03  7.9800e-03  2.3200e-03
 -6.7200e-03 -2.1600e-03  2.0800e-03 -3.8400e-03  8.9800e-03  3.9600e-03
 -1.0000e-03  2.0000e-04 -1.0300e-02 -2.1600e-03  4.3400e-03  2.1200e-03
  5.9000e-03 -5.1200e-03 -5.6800e-03 -2.1800e-03  2.3600e-03 -1.1400e-03
 -2.2000e-04 -1.0140e-02 -1.1238e-01]","[ 7.50000000e-01  6.56250000e-01  5.62500000e-01 ... -4.68474427e-04
 -4.67333794e-04 -4.67045455e-04]",0.28998708724975586
128,"[ 1.0032e-01  3.0080e-02  8.5000e-03 -4.0000e-05 -4.8400e-03 -1.0360e-02
  2.5200e-03  5.6200e-03  3.3600e-03  3.4400e-03  9.0600e-03  7.1000e-03
 -7.0400e-03  8.2400e-03 -6.8000e-03  5.9400e-03 -5.4000e-03  3.5800e-03
  1.3600e-03 -9.4200e-03 -2.2000e-03  2.2200e-03  6.5600e-03 -4.6000e-04
  9.4600e-03 -2.4800e-03 -9.0000e-04  2.3400e-03 -3.0400e-03 -2.3000e-03
 -5.7000e-03  7.4000e-04  3.8000e-03  1.3320e-02  1.5240e-02  3.5000e-03
  2.8600e-03  7.7800e-03 -5.4600e-03 -3.7800e-03 -2.3780e-02 -2.1400e-03
  5.8400e-03 -8.0000e-04  3.7400e-03 -1.2400e-03 -3.8000e-04  3.1400e-03
 -6.8000e-04 -1.0540e-02 -1.0400e-02 -1.1380e-02 -4.3000e-03 -2.2400e-03
  5.2800e-03 -1.4720e-02 -3.4200e-03  8.4000e-04  3.7000e-03 -1.5000e-03
 -1.1480e-02 -3.4000e-03  1.6400e-03  7.5600e-03  3.4000e-03  3.0000e-04
 -3.0400e-03 -2.2400e-03  1.6000e-04 -2.9600e-03 -2.4000e-03 -8.2400e-03
  2.4000e-03  6.9600e-03  6.5000e-03  4.4000e-04  9.0800e-03  1.4120e-02
  6.7600e-03  8.6600e-03  8.1800e-03  3.6000e-04 -1.8000e-03 -5.5600e-03
 -3.9400e-03 -4.4000e-03 -4.8000e-03  9.8400e-03 -6.1400e-03 -4.7000e-03
 -1.2160e-02 -7.2800e-03 -3.8000e-04 -6.6200e-03 -9.5200e-03 -9.6000e-04
  1.3920e-02  1.0400e-02 -4.7200e-03 -3.7000e-03 -3.9600e-03 -1.8800e-03
 -5.8000e-03 -1.4900e-02  3.8600e-03 -3.9600e-03 -3.8200e-03 -4.8600e-03
 -9.8000e-04  2.8800e-03 -2.5600e-03 -3.2000e-03  5.1400e-03 -2.6800e-03
 -2.3600e-03  7.0800e-03  1.2120e-02 -7.2600e-03 -4.4800e-03  1.0000e-02
 -5.1400e-03 -1.3420e-02 -2.1400e-03 -2.2800e-03 -1.0120e-02 -1.1640e-02
 -1.1378e-01]","[ 5.00000000e-01  4.29687500e-01  4.11458333e-01 ... -9.85813378e-05
 -9.82963481e-05 -9.88636364e-05]",0.671245813369751
