NSpins,mean_energy_current,energy_running_mean,m_running_mean,time_elapsed
8,[ 0.01414  0.07708  0.08934  0.11096  0.11672  0.1052  -0.0132 ],"[-0.525      -0.5        -0.50833333 ... -0.37640412 -0.37640547
 -0.37640659]",[0.25       0.         0.08333333 ... 0.1047019  0.10470322 0.10470227],1.4597914218902588
16,"[-0.01432  0.03258  0.03484  0.04362  0.03706  0.04244  0.04974  0.0496
  0.0517   0.0521   0.07032  0.07424  0.072    0.03398 -0.09934]","[-0.55       -0.54375    -0.54166667 ... -0.38507677 -0.38507816
 -0.38507909]",[0.5        0.4375     0.41666667 ... 0.11138157 0.11138397 0.11138182],0.13017559051513672
32,"[-0.05868  0.01254  0.01944  0.0172   0.0287   0.01708  0.01932  0.0054
  0.01356  0.021    0.02748  0.01302  0.03458  0.01708  0.02602  0.03048
  0.02258  0.0454   0.0373   0.03912  0.03472  0.03072  0.032    0.03456
  0.04128  0.03824  0.04528  0.04272  0.02936 -0.01774 -0.14588]","[-0.7        -0.55625    -0.53541667 ... -0.39165684 -0.39165828
 -0.39166091]",[0.75       0.5625     0.35416667 ... 0.12089708 0.12090053 0.12090455],0.20525360107421875
64,"[-0.05384 -0.0128   0.01448  0.00784  0.00786  0.01046 -0.00178  0.01468
  0.01318  0.0004   0.00918  0.00836  0.0078   0.01254  0.012    0.00424
  0.00088  0.00186  0.00084  0.0105   0.02136  0.02152  0.01184  0.004
  0.0068   0.016   -0.00904  0.00702  0.01164  0.00346  0.01358  0.0111
  0.00712  0.01486  0.0326   0.02102  0.01336  0.03008  0.0125   0.00652
  0.01422  0.01822  0.02084  0.0143   0.0288   0.01592  0.01728  0.01528
  0.01096  0.024    0.0205   0.02836  0.02452  0.02236  0.017    0.02122
  0.02576  0.02904  0.02208  0.02    -0.00184 -0.04704 -0.17208]","[-0.825      -0.7203125  -0.66041667 ... -0.39458041 -0.39458134
 -0.39458165]",[0.75       0.640625   0.5625     ... 0.1231494  0.12314799 0.12314602],0.4220600128173828
128,"[-0.05586 -0.00904 -0.0009   0.00926 -0.00158 -0.00212  0.00388 -0.00322
  0.00306  0.00572 -0.00116 -0.00972  0.00804  0.00802 -0.0052   0.00646
  0.011    0.01934  0.00694  0.01646 -0.0096   0.00632  0.01936  0.01328
  0.00922 -0.01842  0.0015   0.02524  0.00524 -0.00116  0.0062   0.00906
  0.01086 -0.00524  0.00252  0.02468  0.01364  0.00934  0.00648  0.00746
  0.01114 -0.00486  0.00506  0.01566  0.0002   0.00466  0.0159   0.0035
  0.00482  0.01532  0.00418  0.00528  0.00944  0.00224  0.0108   0.01266
  0.0013   0.00088  0.01298  0.01468  0.0106   0.01148  0.00354  0.00232
  0.01326  0.0077   0.01126  0.003    0.009    0.0066   0.00826  0.01142
  0.01318 -0.0008   0.00902  0.00588  0.01274  0.00878  0.00382  0.0192
  0.0084   0.01992  0.01416  0.0088   0.00664  0.00344 -0.00494  0.0105
  0.0124   0.00744  0.0045   0.0022   0.01054  0.01192  0.01176  0.01442
  0.00938  0.00216  0.01256  0.00872  0.00376  0.01734  0.01402  0.01462
  0.01452  0.01084  0.02162  0.0111   0.01284  0.01084  0.01188  0.00676
  0.01276  0.00988  0.01756  0.01772  0.01436  0.01706  0.02328  0.014
  0.02304  0.01848  0.0132   0.00584 -0.01952 -0.07088 -0.19376]","[-0.79375    -0.65625    -0.57239583 ... -0.39856872 -0.39856925
 -0.39856858]",[0.75       0.625      0.515625   ... 0.13007737 0.13007505 0.130075  ],0.7276513576507568
