NSpins,mean_energy_current,energy_running_mean,m_running_mean,time_elapsed
8,[0.12328  0.06116  0.04084  0.03596  0.03476  0.037865 0.058835],"[-0.31875    -0.31875    -0.31875    ... -0.17574217 -0.17574347
 -0.17574477]",[1.         1.         1.         ... 0.46430162 0.46430649 0.46431136],1.4124681949615479
16,"[0.120945 0.05994  0.042635 0.03509  0.031705 0.03248  0.03298  0.03206
 0.02998  0.03148  0.03088  0.03038  0.03216  0.03644  0.05832 ]","[-0.259375   -0.259375   -0.259375   ... -0.19904515 -0.19904508
 -0.19904511]",[0.875      0.875      0.875      ... 0.52726868 0.52726843 0.52726932],0.06889772415161133
32,"[0.1246   0.059835 0.04329  0.03631  0.031755 0.031665 0.03223  0.03197
 0.031595 0.029255 0.03075  0.031585 0.03118  0.03246  0.0326   0.032585
 0.031235 0.03132  0.03044  0.0316   0.03078  0.031685 0.031555 0.03074
 0.03014  0.03158  0.031    0.03248  0.03288  0.036685 0.05671 ]","[-0.2703125  -0.221875   -0.21510417 ... -0.21172393 -0.21172424
 -0.21172469]",[0.75       0.65625    0.66666667 ... 0.56279773 0.5628     0.56280227],0.18731093406677246
64,"[0.11826  0.05774  0.0413   0.03516  0.03226  0.03316  0.03122  0.0297
 0.03068  0.0307   0.02898  0.03     0.03046  0.03098  0.03042  0.03012
 0.03124  0.03156  0.0322   0.03108  0.03066  0.031675 0.033565 0.03204
 0.03234  0.03124  0.03126  0.03014  0.032825 0.030555 0.03106  0.03086
 0.029265 0.02873  0.03045  0.029945 0.02924  0.029755 0.030535 0.02926
 0.0313   0.02936  0.02768  0.0302   0.02978  0.02964  0.032125 0.031615
 0.0298   0.03166  0.0299   0.0289   0.03214  0.03126  0.03096  0.02948
 0.02764  0.02924  0.0315   0.03162  0.03164  0.03694  0.05898 ]","[-0.34609375 -0.32734375 -0.31067708 ... -0.21839917 -0.21839942
 -0.21840021]",[1.         0.96875    0.90625    ... 0.58289298 0.58289479 0.58289773],0.2733025550842285
128,"[0.121455 0.06111  0.04287  0.037395 0.032945 0.031265 0.03058  0.03052
 0.03038  0.03068  0.03026  0.030835 0.03051  0.03007  0.02999  0.030165
 0.03072  0.03166  0.031145 0.029945 0.030985 0.03079  0.029425 0.02964
 0.03144  0.0314   0.030685 0.029735 0.03     0.0311   0.02938  0.0303
 0.03042  0.03174  0.03128  0.030605 0.03165  0.02869  0.02939  0.03093
 0.03205  0.03243  0.03155  0.03277  0.03285  0.03255  0.031035 0.0296
 0.02796  0.03064  0.0302   0.03     0.03096  0.02906  0.03124  0.03016
 0.0296   0.03132  0.03086  0.030965 0.02963  0.030405 0.03006  0.03072
 0.031015 0.03149  0.03027  0.030915 0.02966  0.02898  0.03022  0.03208
 0.03182  0.0305   0.030425 0.03103  0.029895 0.02958  0.03108  0.03116
 0.030865 0.03125  0.029115 0.02962  0.03128  0.02942  0.03074  0.02978
 0.02884  0.0298   0.03098  0.02982  0.03222  0.03112  0.03044  0.03022
 0.030925 0.030115 0.02978  0.03122  0.032485 0.03099  0.029975 0.0322
 0.03122  0.02868  0.0283   0.03074  0.030085 0.03189  0.03041  0.030735
 0.03036  0.030455 0.02995  0.03017  0.032705 0.02806  0.03088  0.03164
 0.03286  0.03114  0.03036  0.03198  0.03378  0.03954  0.05782 ]","[-0.30507813 -0.29648438 -0.28893229 ... -0.22165247 -0.22165245
 -0.22165268]",[0.921875   0.875      0.86458333 ... 0.59172312 0.59172299 0.59172315],0.5990309715270996
