NSpins,T,E_mean,Cv,Cv_err,F_approx,F_exact,m_running_mean,tau_int,Mean Energy Difference
8,1.0,-0.66115,0.37934542,0.010070566177213568,-1.3542971805599453,-1.1403311690007771,0.036954545454545455,3.522533087031869,0.00020002000200020003
8,1.5,-0.506275,0.24972666444444444,0.005374951386093809,-1.545995770839918,-1.35342225055062,-0.006954545454545455,2.315733989162675,-0.00040004000400040005
8,2.0,-0.401525,0.16840534875000002,0.0029997756288787382,-1.7878193611198907,-1.6270427793194118,0.009522727272727273,1.586232677547304,0.0
8,2.5,-0.32755,0.1215660768,0.0019432632689879662,-2.060417951399863,-1.9278873579900866,0.004886363636363637,1.277476741192984,0.0
8,3.0,-0.280875,0.08685265277777776,0.0014168130871247606,-2.3603165416798357,-2.2431530751611923,0.00840909090909091,1.3303660925088479,-0.00040004000400040005
8,3.5,-0.241575,0.06461486979591835,0.00097828963265231,-2.6675901319598085,-2.5669856199634706,0.004272727272727273,1.146014693554679,-0.0006000600060006001
8,4.0,-0.211325,0.05137087218750001,0.0007386593538611517,-2.983913722239781,-2.8963144102662164,0.002,1.0336645814942642,0.00020002000200020003
8,4.5,-0.1908,0.04010680888888889,0.0005908286555576879,-3.3099623125197537,-3.22937373076591,0.0032727272727272726,1.0849501076631327,0.0
8,5.0,-0.1699,0.0341548768,0.0005094205562966838,-3.6356359027997267,-3.565077701534994,-0.0027272727272727275,1.1121649041509647,-0.0006000600060006001
16,1.0,-0.7114875,0.4078685975,0.01334555549760862,-1.4046346805599454,-1.1277236033227283,-0.039011363636363636,5.350204200192196,-0.00020002000200020003
16,1.5,-0.5464375,0.2807764166666667,0.006081380577007722,-1.5861582708399178,-1.3509603850971814,0.00625,2.3450454237065452,-0.0006000600060006001
16,2.0,-0.4342,0.18496894000000003,0.003477352499533333,-1.8204943611198905,-1.6265239157192573,0.011011363636363637,1.76682316479729,-0.00020002000200020003
16,2.5,-0.3539875,0.1277896956,0.002180097376808038,-2.086855451399863,-1.9277516943424335,0.0026704545454545453,1.4550131646789835,0.0006000600060006001
16,3.0,-0.2997125,0.09271763083333334,0.0015076210074928607,-2.379154041679836,-2.2431102630006157,-0.00375,1.3218199544626343,0.00020002000200020003
16,3.5,-0.25865,0.06991859918367346,0.0010724131907770107,-2.6846651319598083,-2.5669699294095856,0.0037386363636363637,1.176136639462865,0.00040004000400040005
16,4.0,-0.22845,0.05472309749999999,0.0008134419976690633,-3.001038722239781,-2.896307936762334,0.0052159090909090905,1.1046733193328464,-0.001000100010001
16,4.5,-0.2037125,0.043702196419753085,0.0006463235923902067,-3.322874812519754,-3.229370793934043,0.0032840909090909092,1.0934929835537748,0.0
16,5.0,-0.182525,0.0364401596,0.0005261685935095734,-3.6482609027997266,-3.565076262001421,0.00020454545454545454,1.042351117208609,-0.00040004000400040005
32,1.0,-0.73479375,0.39627563874999994,0.012500974212709598,-1.4279409305599453,-1.1269331392987487,0.017829545454545456,4.973326034643228,0.001000100010001
32,1.5,-0.5637875,0.28538753555555557,0.006893363348861951,-1.6035082708399178,-1.3509437890857896,0.007647727272727273,2.9163233204197168,0.00040004000400040005
32,2.0,-0.44758125,0.1877494471875,0.0037578766908208843,-1.8338756111198906,-1.6265233750376153,0.006198863636363636,2.0026762023691784,0.0006000600060006001
32,2.5,-0.36805,0.1323366912,0.002337193752038508,-2.1009179513998633,-1.9277516648694468,-0.0018068181818181818,1.5593053499031413,0.0006000600060006001
32,3.0,-0.3119875,0.09807684388888888,0.0015809730048569409,-2.3914290416798356,-2.2431102605562163,0.0025795454545454546,1.2990609511037658,0.0006000600060006001
32,3.5,-0.26976875,0.07346892153061224,0.0011437248367527624,-2.6957838819598083,-2.5669699291282013,0.004829545454545454,1.2115829626891061,0.00040004000400040005
32,4.0,-0.23918125,0.057334659296875,0.0009232664922854799,-3.0117699722397813,-2.8963079367204267,-0.004982954545454546,1.2963831441654476,0.00020002000200020003
32,4.5,-0.2102125,0.045619385432098765,0.0007065877891937328,-3.3293748125197538,-3.2293707939263765,-1.7045454545454546e-05,1.1993648278871443,0.0
32,5.0,-0.1929125,0.0380845022,0.0005765336000212439,-3.6586484027997264,-3.5650762619997636,0.0012556818181818181,1.1457053023851778,-0.001000100010001
64,1.0,-0.746840625,0.407698674375,0.014112998273063343,-1.4399878055599453,-1.1269280114638254,0.02612215909090909,5.987835436512697,0.00020002000200020003
64,1.5,-0.57475625,0.28680497666666666,0.006435136207423748,-1.6144770208399177,-1.3509437876163224,-0.002159090909090909,2.5165341041436053,-0.00020002000200020003
64,2.0,-0.454390625,0.19291030859375,0.003842489313353658,-1.8406849861198906,-1.6265233750364458,0.001809659090909091,1.983345272421471,0.00020002000200020003
64,2.5,-0.372709375,0.13442227110000002,0.0024284988449722023,-2.1055773263998634,-1.927751664869444,-0.0030142045454545456,1.6316705732246772,-0.0018001800180018
64,3.0,-0.317340625,0.09730837493055555,0.0015672423867130062,-2.3967821666798357,-2.2431102605562163,0.0029744318181818183,1.2968375521314734,0.0018001800180018
64,3.5,-0.274728125,0.07307777709183673,0.0011637459865014386,-2.700743256959808,-2.5669699291282013,0.004076704545454546,1.2678289823945619,0.0008000800080008001
64,4.0,-0.2419625,0.058397844375,0.0009288139023359456,-3.0145512222397812,-2.8963079367204267,-0.0005170454545454545,1.2646747811314225,-0.00040004000400040005
