NSpins,mean_energy_current,m_running_mean,time_elapsed
8,[-0.04166 -0.05856 -0.07922 -0.11662 -0.1719  -0.24092 -0.27974],"[ 1.00000000e+00  7.50000000e-01  6.66666667e-01 ... -1.45457190e-04
 -1.47728616e-04 -1.50000000e-04]",1.4664902687072754
16,"[-0.01726 -0.02064 -0.03848 -0.02296 -0.03486 -0.03354 -0.04426 -0.04986
 -0.06382 -0.07262 -0.076   -0.1065  -0.137   -0.15566 -0.15992]",[0.875      0.6875     0.45833333 ... 0.00100456 0.00100342 0.00099659],0.06847858428955078
32,"[-0.01528 -0.00368 -0.00902 -0.013   -0.01628 -0.0237  -0.01512 -0.0244
 -0.018   -0.01594 -0.01492 -0.0202  -0.02326 -0.00648 -0.0157  -0.03012
 -0.04158 -0.04198 -0.0298  -0.0323  -0.04288 -0.03642 -0.03818 -0.05824
 -0.05928 -0.05808 -0.07168 -0.08602 -0.09258 -0.0861  -0.08772]",[0.6875     0.65625    0.6875     ... 0.00128241 0.00128467 0.00128636],0.13743185997009277
64,"[-0.00418 -0.00578  0.00236  0.00038 -0.00792 -0.0059  -0.00614 -0.00322
 -0.00354  0.00422 -0.0162  -0.00538 -0.00634  0.00706 -0.01586 -0.01222
 -0.00846 -0.0078   0.005   -0.01164 -0.01102 -0.01184 -0.02368 -0.0049
 -0.01814 -0.01688 -0.01016 -0.01434 -0.02004 -0.01598 -0.0039   0.00718
  0.0079  -0.01452 -0.0246  -0.02508 -0.02444 -0.02466 -0.02814 -0.02388
 -0.02132 -0.01476 -0.01212 -0.01854 -0.0239  -0.01036 -0.01236 -0.02364
 -0.0239  -0.0277  -0.0278  -0.03724 -0.03996 -0.0386  -0.03706 -0.0436
 -0.0473  -0.05596 -0.05044 -0.0526  -0.0497  -0.05112 -0.0432 ]",[0.625      0.46875    0.36458333 ... 0.00097729 0.00097586 0.00097528],0.2515864372253418
128,"[-0.00272 -0.00584 -0.01064  0.008    0.0027  -0.02012  0.00228 -0.00724
 -0.00906  0.0052  -0.00562  0.00782 -0.00094  0.00644 -0.0071  -0.00414
  0.00058  0.0036  -0.00786  0.00292  0.00378 -0.00064  0.00178 -0.01722
 -0.00262 -0.01356 -0.01846 -0.00078 -0.00806  0.00032 -0.01018 -0.01198
 -0.01832  0.00302 -0.01014  0.00222  0.009   -0.01348 -0.00668 -0.00324
 -0.00014 -0.006   -0.00466 -0.0082  -0.00654 -0.00334 -0.01134 -0.0176
 -0.00648 -0.0016   0.0007   0.01054 -0.01904 -0.00926  0.00692  0.0041
 -0.0133   0.00524 -0.00492 -0.00124 -0.00324 -0.0103  -0.00986 -0.01172
  0.00124 -0.00772 -0.00132 -0.00436 -0.00774 -0.00894 -0.01028 -0.01494
 -0.0135  -0.00188 -0.02396 -0.00562 -0.01064 -0.00616 -0.00536 -0.0088
 -0.01336 -0.00592 -0.01096 -0.0075  -0.01348 -0.00716 -0.00458 -0.0076
 -0.00408 -0.00408 -0.00088 -0.00256 -0.00552 -0.01296 -0.0204  -0.01304
 -0.02448 -0.02094 -0.02014 -0.01986 -0.00996 -0.00876 -0.02086 -0.01434
 -0.01852 -0.01462 -0.01544 -0.01262 -0.01894 -0.02218 -0.01622 -0.0095
 -0.01812 -0.01772 -0.01956 -0.02524 -0.02174 -0.02262 -0.02194 -0.02088
 -0.02654 -0.02324 -0.02378 -0.02952 -0.02904 -0.02672 -0.024  ]","[ 4.84375000e-01  4.45312500e-01  4.16666667e-01 ... -2.42902144e-05
 -2.64206947e-05 -2.68465909e-05]",0.5375039577484131
